params,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_roc_auc,mean_test_average_precision
"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'n_estimators': 50}",0.7408393086964516,0.7408830062939653,0.7653341550932743,0.6955757126990003,0.7281802038749119,0.8204111089986691,0.8304921220061402
"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'n_estimators': 100}",0.7489566096708955,0.7489540910773788,0.7778766760216379,0.69687152906331,0.7342862101156323,0.8324384362148154,0.8494840309332691
"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'n_estimators': 200}",0.7577725684868541,0.7577841540170306,0.7849664867083816,0.7104220659015179,0.7447354717128555,0.8454825289932659,0.8610025703211921
"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 50}",0.7408393086964516,0.7408830062939653,0.7653341550932743,0.6955757126990003,0.7281802038749119,0.8204111089986691,0.8304921220061402
"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",0.7489566096708955,0.7489540910773788,0.7778766760216379,0.69687152906331,0.7342862101156323,0.8324384362148154,0.8494840309332691
"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 200}",0.7577725684868541,0.7577841540170306,0.7849664867083816,0.7104220659015179,0.7447354717128555,0.8454825289932659,0.8610025703211921
"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'auto', 'n_estimators': 50}",0.7475868725868726,0.7476305072195483,0.7726131207707272,0.7036653091447612,0.7353709723278212,0.8200673924572481,0.8327131650558025
"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'auto', 'n_estimators': 100}",0.7503079610222467,0.7503424657534244,0.7764513259325637,0.7023509811181045,0.7366083251212322,0.834648203368122,0.8540663118760546
"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'auto', 'n_estimators': 200}",0.7483039161610592,0.7483246945575713,0.7739059123890448,0.7023324694557571,0.7356001689089925,0.8462293745059387,0.8633501584534509
"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 50}",0.7475868725868726,0.7476305072195483,0.7726131207707272,0.7036653091447612,0.7353709723278212,0.8200673924572481,0.8327131650558025
"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 100}",0.7503079610222467,0.7503424657534244,0.7764513259325637,0.7023509811181045,0.7366083251212322,0.834648203368122,0.8540663118760546
"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 200}",0.7483039161610592,0.7483246945575713,0.7739059123890448,0.7023324694557571,0.7356001689089925,0.8462293745059387,0.8633501584534509
"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'auto', 'n_estimators': 50}",0.7347858062143777,0.7348204368752314,0.7698161174446236,0.6699555720103666,0.7153458290942242,0.8155724356344498,0.8316362542246847
"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'auto', 'n_estimators': 100}",0.7564028314028315,0.7564235468345057,0.7912126414124281,0.696945575712699,0.7398046162867571,0.8340570809610055,0.8512705019320468
