params,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_roc_auc,mean_test_average_precision
"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",0.7598041919470491,0.7598667160310996,0.7420184218693169,0.7971492039985191,0.767571699412978,0.8338403194012228,0.8307707911878758
"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'constant', 'solver': 'adam'}",0.7489749954035669,0.7489633469085523,0.7222433728070299,0.8119585338763422,0.7634933744555024,0.8318378078189259,0.8285000136722896
"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.7598041919470491,0.7598667160310996,0.7420184218693169,0.7971492039985191,0.767571699412978,0.8339318770825621,0.830753572984974
"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7489749954035669,0.7489633469085523,0.7222433728070299,0.8119585338763422,0.7634933744555024,0.8318378078189259,0.8285000136722896
"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'sgd'}",0.7564350064350064,0.7564698259903739,0.7377587989329443,0.7984450203628286,0.7658347592813681,0.8384809930256061,0.8397675057713403
"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'constant', 'solver': 'adam'}",0.7523625666482808,0.752388004442799,0.7278600186874467,0.8079229914846353,0.7648072965212183,0.8364399571730191,0.8375459472133118
"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.7571106821106821,0.7571455016660495,0.7380949333867257,0.7997963717141799,0.7666149519411881,0.8384079470066143,0.8396650020992474
"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 100, 50), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7523625666482808,0.752388004442799,0.7278600186874467,0.8079229914846353,0.7648072965212183,0.8364399571730191,0.8375459472133118
"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'sgd'}",0.745578231292517,0.7455664568678267,0.7188222057349964,0.8119215105516476,0.7611747170387327,0.8320314298007745,0.8317430286469133
"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'constant', 'solver': 'adam'}",0.7273395844824415,0.7273417252869308,0.6865861093098323,0.8404109589041096,0.7549521623631373,0.8211778420404856,0.8230589214396435
"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'sgd'}",0.745578231292517,0.7455664568678267,0.7188222057349964,0.8119215105516476,0.7611747170387327,0.8319396219618358,0.8316320501355265
"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate': 'adaptive', 'solver': 'adam'}",0.7273395844824415,0.7273417252869308,0.6865861093098323,0.8404109589041096,0.7549521623631373,0.8211778420404856,0.8230589214396435
