"C, kernel, gamma, degree",Sensitivity,Specificity,Balanced_acc,Accuracy,Precision,F1-score,MCC,AUC,auPR
"'C':0.01, 'kernel':linear, 'gamma':scale,'degree': 3",0.727,0.721,0.724,0.724,0.726,0.724,0.451,0.802,0.814
"'C':0.01, 'kernel':linear, 'gamma':scale,'degree': 5",0.727,0.721,0.724,0.724,0.726,0.724,0.451,0.802,0.814
"'C':0.01, 'kernel':linear, 'gamma':auto,'degree': 3",0.727,0.721,0.724,0.724,0.726,0.724,0.451,0.802,0.814
"'C':0.01, 'kernel':linear, 'gamma':auto,'degree': 5",0.727,0.721,0.724,0.724,0.726,0.724,0.451,0.802,0.814
"'C':0.01, 'kernel':poly, 'gamma':scale,'degree': 3",0.500,0.500,0.500,0.491,0.245,0.329,0.000,0.117,0.340
"'C':0.01, 'kernel':poly, 'gamma':scale,'degree': 5",0.500,0.500,0.500,0.491,0.245,0.329,0.000,0.269,0.404
"'C':0.01, 'kernel':poly, 'gamma':auto,'degree': 3",0.500,0.500,0.500,0.491,0.245,0.329,0.000,0.117,0.340
"'C':0.01, 'kernel':poly, 'gamma':auto,'degree': 5",0.507,0.500,0.504,0.495,0.345,0.343,0.019,0.254,0.397
"'C':0.01, 'kernel':rbf, 'gamma':scale,'degree': 3",0.500,0.500,0.500,0.491,0.245,0.329,0.000,0.314,0.430
"'C':0.01, 'kernel':rbf, 'gamma':scale,'degree': 5",0.500,0.500,0.500,0.491,0.245,0.329,0.000,0.314,0.430
"'C':0.01, 'kernel':rbf, 'gamma':auto,'degree': 3",0.500,0.500,0.500,0.491,0.245,0.329,0.000,0.225,0.415
"'C':0.01, 'kernel':rbf, 'gamma':auto,'degree': 5",0.500,0.500,0.500,0.491,0.245,0.329,0.000,0.225,0.415
"'C':0.01, 'kernel':sigmoid, 'gamma':scale,'degree': 3",0.500,0.500,0.500,0.491,0.245,0.329,0.000,0.884,0.894
"'C':0.01, 'kernel':sigmoid, 'gamma':scale,'degree': 5",0.500,0.500,0.500,0.491,0.245,0.329,0.000,0.884,0.894
"'C':0.01, 'kernel':sigmoid, 'gamma':auto,'degree': 3",0.500,0.500,0.500,0.491,0.245,0.329,0.000,0.884,0.894
"'C':0.01, 'kernel':sigmoid, 'gamma':auto,'degree': 5",0.500,0.500,0.500,0.491,0.245,0.329,0.000,0.884,0.894
"'C':0.1, 'kernel':linear, 'gamma':scale,'degree': 3",0.735,0.721,0.728,0.727,0.727,0.728,0.458,0.794,0.807
"'C':0.1, 'kernel':linear, 'gamma':scale,'degree': 5",0.735,0.721,0.728,0.727,0.727,0.728,0.458,0.794,0.807
"'C':0.1, 'kernel':linear, 'gamma':auto,'degree': 3",0.735,0.721,0.728,0.727,0.727,0.728,0.458,0.794,0.807
"'C':0.1, 'kernel':linear, 'gamma':auto,'degree': 5",0.735,0.721,0.728,0.727,0.727,0.728,0.458,0.794,0.807
"'C':0.1, 'kernel':poly, 'gamma':scale,'degree': 3",0.116,1.000,0.558,0.558,1.000,0.204,0.241,0.883,0.896
"'C':0.1, 'kernel':poly, 'gamma':scale,'degree': 5",0.069,1.000,0.535,0.535,1.000,0.127,0.184,0.871,0.887
"'C':0.1, 'kernel':poly, 'gamma':auto,'degree': 3",0.134,1.000,0.567,0.567,1.000,0.231,0.260,0.881,0.894
"'C':0.1, 'kernel':poly, 'gamma':auto,'degree': 5",0.080,1.000,0.540,0.540,1.000,0.145,0.198,0.870,0.887
"'C':0.1, 'kernel':rbf, 'gamma':scale,'degree': 3",0.836,0.735,0.786,0.785,0.759,0.794,0.577,0.866,0.886
"'C':0.1, 'kernel':rbf, 'gamma':scale,'degree': 5",0.836,0.735,0.786,0.785,0.759,0.794,0.577,0.866,0.886
"'C':0.1, 'kernel':rbf, 'gamma':auto,'degree': 3",0.862,0.659,0.760,0.760,0.718,0.782,0.536,0.863,0.884
"'C':0.1, 'kernel':rbf, 'gamma':auto,'degree': 5",0.862,0.659,0.760,0.760,0.718,0.782,0.536,0.863,0.884
"'C':0.1, 'kernel':sigmoid, 'gamma':scale,'degree': 3",0.775,0.830,0.802,0.802,0.821,0.795,0.608,0.888,0.900
"'C':0.1, 'kernel':sigmoid, 'gamma':scale,'degree': 5",0.775,0.830,0.802,0.802,0.821,0.795,0.608,0.888,0.900
"'C':0.1, 'kernel':sigmoid, 'gamma':auto,'degree': 3",0.775,0.830,0.802,0.802,0.821,0.795,0.608,0.888,0.900
"'C':0.1, 'kernel':sigmoid, 'gamma':auto,'degree': 5",0.775,0.830,0.802,0.802,0.821,0.795,0.608,0.888,0.900
"'C':1, 'kernel':linear, 'gamma':scale,'degree': 3",0.735,0.721,0.728,0.727,0.727,0.728,0.458,0.794,0.807
"'C':1, 'kernel':linear, 'gamma':scale,'degree': 5",0.735,0.721,0.728,0.727,0.727,0.728,0.458,0.794,0.807
"'C':1, 'kernel':linear, 'gamma':auto,'degree': 3",0.735,0.721,0.728,0.727,0.727,0.728,0.458,0.794,0.807
"'C':1, 'kernel':linear, 'gamma':auto,'degree': 5",0.735,0.721,0.728,0.727,0.727,0.728,0.458,0.794,0.807
"'C':1, 'kernel':poly, 'gamma':scale,'degree': 3",0.392,0.993,0.692,0.693,0.978,0.552,0.478,0.885,0.899
"'C':1, 'kernel':poly, 'gamma':scale,'degree': 5",0.123,1.000,0.562,0.562,1.000,0.217,0.253,0.860,0.883
"'C':1, 'kernel':poly, 'gamma':auto,'degree': 3",0.425,0.993,0.709,0.709,0.982,0.589,0.506,0.886,0.899
"'C':1, 'kernel':poly, 'gamma':auto,'degree': 5",0.138,1.000,0.569,0.569,1.000,0.240,0.269,0.859,0.884
"'C':1, 'kernel':rbf, 'gamma':scale,'degree': 3",0.815,0.793,0.804,0.804,0.800,0.805,0.611,0.878,0.885
"'C':1, 'kernel':rbf, 'gamma':scale,'degree': 5",0.815,0.793,0.804,0.804,0.800,0.805,0.611,0.878,0.885
"'C':1, 'kernel':rbf, 'gamma':auto,'degree': 3",0.815,0.790,0.802,0.802,0.797,0.804,0.607,0.876,0.882
"'C':1, 'kernel':rbf, 'gamma':auto,'degree': 5",0.815,0.790,0.802,0.802,0.797,0.804,0.607,0.876,0.882
"'C':1, 'kernel':sigmoid, 'gamma':scale,'degree': 3",0.782,0.801,0.791,0.791,0.801,0.789,0.585,0.880,0.885
"'C':1, 'kernel':sigmoid, 'gamma':scale,'degree': 5",0.782,0.801,0.791,0.791,0.801,0.789,0.585,0.880,0.885
"'C':1, 'kernel':sigmoid, 'gamma':auto,'degree': 3",0.789,0.793,0.791,0.791,0.797,0.791,0.585,0.877,0.882
"'C':1, 'kernel':sigmoid, 'gamma':auto,'degree': 5",0.789,0.793,0.791,0.791,0.797,0.791,0.585,0.877,0.882
"'C':10, 'kernel':linear, 'gamma':scale,'degree': 3",0.735,0.721,0.728,0.727,0.727,0.728,0.458,0.794,0.807
"'C':10, 'kernel':linear, 'gamma':scale,'degree': 5",0.735,0.721,0.728,0.727,0.727,0.728,0.458,0.794,0.807
"'C':10, 'kernel':linear, 'gamma':auto,'degree': 3",0.735,0.721,0.728,0.727,0.727,0.728,0.458,0.794,0.807
"'C':10, 'kernel':linear, 'gamma':auto,'degree': 5",0.735,0.721,0.728,0.727,0.727,0.728,0.458,0.794,0.807
"'C':10, 'kernel':poly, 'gamma':scale,'degree': 3",0.600,0.949,0.774,0.775,0.923,0.721,0.588,0.877,0.894
"'C':10, 'kernel':poly, 'gamma':scale,'degree': 5",0.171,1.000,0.585,0.585,1.000,0.289,0.303,0.859,0.882
"'C':10, 'kernel':poly, 'gamma':auto,'degree': 3",0.607,0.949,0.778,0.778,0.923,0.727,0.594,0.877,0.894
"'C':10, 'kernel':poly, 'gamma':auto,'degree': 5",0.182,1.000,0.591,0.591,1.000,0.305,0.314,0.857,0.880
"'C':10, 'kernel':rbf, 'gamma':scale,'degree': 3",0.804,0.772,0.788,0.787,0.781,0.790,0.578,0.864,0.872
"'C':10, 'kernel':rbf, 'gamma':scale,'degree': 5",0.804,0.772,0.788,0.787,0.781,0.790,0.578,0.864,0.872
"'C':10, 'kernel':rbf, 'gamma':auto,'degree': 3",0.804,0.771,0.788,0.787,0.781,0.790,0.578,0.863,0.871
"'C':10, 'kernel':rbf, 'gamma':auto,'degree': 5",0.804,0.771,0.788,0.787,0.781,0.790,0.578,0.863,0.871
"'C':10, 'kernel':sigmoid, 'gamma':scale,'degree': 3",0.764,0.735,0.750,0.749,0.748,0.753,0.503,0.820,0.830
"'C':10, 'kernel':sigmoid, 'gamma':scale,'degree': 5",0.764,0.735,0.750,0.749,0.748,0.753,0.503,0.820,0.830
"'C':10, 'kernel':sigmoid, 'gamma':auto,'degree': 3",0.760,0.732,0.746,0.745,0.743,0.749,0.496,0.820,0.828
"'C':10, 'kernel':sigmoid, 'gamma':auto,'degree': 5",0.760,0.732,0.746,0.745,0.743,0.749,0.496,0.820,0.828
