"n_components, scale, max_iter, tol",Sensitivity,Specificity,Balanced_acc,Accuracy,Precision,F1-score,MCC,AUC,auPR
"'n_components':2, 'scale':True, 'max_itr':500,'tol': 1e-06",0.775,0.804,0.790,0.790,0.800,0.786,0.582,0.869,0.867
"'n_components':2, 'scale':True, 'max_itr':500,'tol': 1e-07",0.775,0.804,0.790,0.790,0.800,0.786,0.582,0.869,0.867
"'n_components':2, 'scale':True, 'max_itr':600,'tol': 1e-06",0.775,0.804,0.790,0.790,0.800,0.786,0.582,0.869,0.867
"'n_components':2, 'scale':True, 'max_itr':600,'tol': 1e-07",0.775,0.804,0.790,0.790,0.800,0.786,0.582,0.869,0.867
"'n_components':2, 'scale':False, 'max_itr':500,'tol': 1e-06",0.774,0.804,0.789,0.789,0.801,0.785,0.581,0.869,0.867
"'n_components':2, 'scale':False, 'max_itr':500,'tol': 1e-07",0.774,0.804,0.789,0.789,0.801,0.785,0.581,0.869,0.867
"'n_components':2, 'scale':False, 'max_itr':600,'tol': 1e-06",0.774,0.804,0.789,0.789,0.801,0.785,0.581,0.869,0.867
"'n_components':2, 'scale':False, 'max_itr':600,'tol': 1e-07",0.774,0.804,0.789,0.789,0.801,0.785,0.581,0.869,0.867
"'n_components':3, 'scale':True, 'max_itr':500,'tol': 1e-06",0.783,0.792,0.787,0.788,0.792,0.785,0.579,0.864,0.849
"'n_components':3, 'scale':True, 'max_itr':500,'tol': 1e-07",0.783,0.792,0.787,0.788,0.792,0.785,0.579,0.864,0.849
"'n_components':3, 'scale':True, 'max_itr':600,'tol': 1e-06",0.783,0.792,0.787,0.788,0.792,0.785,0.579,0.864,0.849
"'n_components':3, 'scale':True, 'max_itr':600,'tol': 1e-07",0.783,0.792,0.787,0.788,0.792,0.785,0.579,0.864,0.849
"'n_components':3, 'scale':False, 'max_itr':500,'tol': 1e-06",0.783,0.792,0.787,0.788,0.792,0.785,0.579,0.864,0.848
"'n_components':3, 'scale':False, 'max_itr':500,'tol': 1e-07",0.783,0.792,0.787,0.788,0.792,0.785,0.579,0.864,0.848
"'n_components':3, 'scale':False, 'max_itr':600,'tol': 1e-06",0.783,0.792,0.787,0.788,0.792,0.785,0.579,0.864,0.848
"'n_components':3, 'scale':False, 'max_itr':600,'tol': 1e-07",0.783,0.792,0.787,0.788,0.792,0.785,0.579,0.864,0.848
"'n_components':4, 'scale':True, 'max_itr':500,'tol': 1e-06",0.778,0.805,0.792,0.792,0.801,0.788,0.585,0.858,0.855
"'n_components':4, 'scale':True, 'max_itr':500,'tol': 1e-07",0.778,0.805,0.792,0.792,0.801,0.788,0.585,0.858,0.855
"'n_components':4, 'scale':True, 'max_itr':600,'tol': 1e-06",0.778,0.805,0.792,0.792,0.801,0.788,0.585,0.858,0.855
"'n_components':4, 'scale':True, 'max_itr':600,'tol': 1e-07",0.778,0.805,0.792,0.792,0.801,0.788,0.585,0.858,0.855
"'n_components':4, 'scale':False, 'max_itr':500,'tol': 1e-06",0.779,0.804,0.792,0.792,0.800,0.788,0.585,0.858,0.854
"'n_components':4, 'scale':False, 'max_itr':500,'tol': 1e-07",0.779,0.804,0.792,0.792,0.800,0.788,0.585,0.858,0.854
"'n_components':4, 'scale':False, 'max_itr':600,'tol': 1e-06",0.779,0.804,0.792,0.792,0.800,0.788,0.585,0.858,0.854
"'n_components':4, 'scale':False, 'max_itr':600,'tol': 1e-07",0.779,0.804,0.792,0.792,0.800,0.788,0.585,0.858,0.854
"'n_components':5, 'scale':True, 'max_itr':500,'tol': 1e-06",0.781,0.779,0.780,0.780,0.781,0.779,0.562,0.849,0.842
