params,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_roc_auc,mean_test_average_precision
"{'C': 0.01, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear'}",0.7557363485934914,0.7557386153276562,0.751097017397835,0.7673269159570529,0.7582777034753672,0.8277552357985531,0.8199330448470944
"{'C': 0.01, 'degree': 3, 'gamma': 'scale', 'kernel': 'poly'}",0.6101305387019672,0.6108108108108108,0.6999348830441268,0.5648648648648649,0.5196483295954021,0.8543745059387415,0.865891639648475
"{'C': 0.01, 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf'}",0.6743197278911565,0.675,0.6284226094846395,0.6675675675675675,0.6383787426076925,0.7896619870518427,0.8088030731199393
"{'C': 0.01, 'degree': 3, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6121621621621622,0.6128378378378379,0.805944885979949,0.33783783783783783,0.4251737738277891,0.8443186707625804,0.8509345976119109
"{'C': 0.01, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear'}",0.7557363485934914,0.7557386153276562,0.751097017397835,0.7673269159570529,0.7582777034753672,0.8277552357985531,0.8199330448470944
"{'C': 0.01, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly'}",0.6101305387019672,0.6108108108108108,0.6999348830441268,0.5648648648648649,0.5196483295954021,0.8543745059387415,0.865891639648475
"{'C': 0.01, 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf'}",0.6722927008641294,0.672972972972973,0.6161828291327696,0.6891891891891893,0.6433371575572856,0.7865287631207661,0.8066301270081851
"{'C': 0.01, 'degree': 3, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.6250643500643501,0.6256756756756756,0.9117359121748384,0.3472972972972973,0.4424220568878544,0.8440810210432572,0.8506341099453769
"{'C': 0.01, 'degree': 5, 'gamma': 'scale', 'kernel': 'linear'}",0.7557363485934914,0.7557386153276562,0.751097017397835,0.7673269159570529,0.7582777034753672,0.8277552357985531,0.8199330448470944
"{'C': 0.01, 'degree': 5, 'gamma': 'scale', 'kernel': 'poly'}",0.5020270270270271,0.5020270270270271,0.5010204081632653,0.9986486486486486,0.6672672425613603,0.8475149344086775,0.8666698728043716
"{'C': 0.01, 'degree': 5, 'gamma': 'scale', 'kernel': 'rbf'}",0.6743197278911565,0.675,0.6284226094846395,0.6675675675675675,0.6383787426076925,0.7896619870518427,0.8088030731199393
"{'C': 0.01, 'degree': 5, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.6121621621621622,0.6128378378378379,0.805944885979949,0.33783783783783783,0.4251737738277891,0.8443186707625804,0.8509345976119109
"{'C': 0.01, 'degree': 5, 'gamma': 'auto', 'kernel': 'linear'}",0.7557363485934914,0.7557386153276562,0.751097017397835,0.7673269159570529,0.7582777034753672,0.8277552357985531,0.8199330448470944
"{'C': 0.01, 'degree': 5, 'gamma': 'auto', 'kernel': 'poly'}",0.5331586688729545,0.53377452795261,0.6428571428571429,0.7662162162162163,0.5758983695676213,0.8477883566646988,0.8669124627998566
